,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
8902,Elc0mandat3,-0.3,2981,15.21,-0.5,1.34,34.37
8907,elChipLead3r,0.93,640,15.16,7.27,3.13,46.53
8936,ElGinoo1,67.1,37864,17.91,8.89,4.21,51.32
8980,elnegroasas,-3.72,837,17.61,-22.22,1.47,37.29
8996,Elrus90,6.76,1746,15.54,19.36,1.4,38.96
9018,ema0308,-0.1,1559,15.71,-0.32,1.82,42.33
9041,emiliospoker,3.43,716,19.18,22.0,2.48,39.81
9099,enixblr,7.4,8901,14.29,4.16,3.27,43.68
9126,enzo.iglesia,16.47,1896,19.11,43.43,1.42,35.26
9156,EremenkoA,4.93,1201,17.36,20.52,2.83,52.5
9158,eretik198519,20.33,6495,16.74,15.65,1.64,34.23
9185,ErikSkare,6.46,686,17.37,47.08,3.14,51.11
9312,evan5dale,-1.82,867,19.47,-10.5,2.39,46.26
9356,evgeniys50,1.27,1341,18.81,4.74,1.95,44.11
9357,EvgeniyVisus,17.65,15391,13.9,5.73,4.5,42.65
9372,evil547,-5.46,5979,9.88,-4.57,1.51,33.55
9390,evromak,-3.05,968,16.77,-15.75,0.24,10.86
9426,Eye Five,0.05,688,19.59,0.36,1.62,31.25
9441,ezoob98,-4.43,968,18.3,-22.88,1.35,39.72
9497,fabioxaxinho,-0.86,1160,19.41,-3.71,2.95,47.1
9504,fabricsm10,-5.09,1044,14.26,-24.38,0.93,31.63
9524,fafilulo,-0.81,943,12.66,-4.29,1.87,33.73
9546,fAktardo,-1.34,7425,13.48,-0.9,2.4,41.01
9558,famedi,-13.57,11463,7.47,-5.92,5.85,54.8
9577,fapsi96,-0.38,1617,14.55,-1.18,2.63,49.57
9604,Fast-Track1,2.54,2067,16.87,6.14,1.31,34.51
9606,fastaceeddie,7.23,7715,16.28,4.69,2.94,46.13
9636,FATZA83,5.98,667,17.92,44.83,2.12,45.45
9643,fav1k,-2.24,2422,16.92,-4.62,1.62,42.07
9649,faysall10,7.59,2350,13.8,16.15,1.43,35.71
9742,felixhunter,1.92,560,18.93,17.14,1.11,37.89
9761,Fenix1284,3.57,641,14.11,27.85,2.13,40.5
9828,fester999999,19.87,2691,14.33,36.92,1.85,42.55
9919,fingerdance,-8.54,1344,13.02,-31.77,7.23,47.72
9933,Fira1981,3.7,923,18.87,20.04,1.35,30.39
9944,Firensmoke69,7.75,1408,18.84,27.52,1.51,43.75
9949,firslite,12.07,2924,13.07,20.64,4.19,53.92
9994,flacoboris,-5.32,1479,15.23,-17.99,1.5,33.45
10024,fleizz,1.69,6278,18.51,1.35,3.15,54.66
10026,fletchdad,1.28,923,15.54,6.93,2.35,42.23
10054,flolpax,-6.53,1779,10.14,-18.35,4.36,48.88
10074,florita cruz,-1.47,1343,12.72,-5.47,1.48,27.43
10114,Fodbold1212,0.35,528,15.94,3.31,3.47,52.38
10130,foneiman,6.12,1884,18.91,16.24,1.81,38.39
10147,fordillo,6.18,3162,14.39,9.77,1.42,35.46
10187,foxmoneey,14.4,2943,14.58,24.46,3.12,55.83
10267,franksteinak,9.54,2248,17.52,21.22,3.04,44.58
10290,frcrl,-3.67,625,19.74,-29.36,1.58,34.09
10325,Freeck777,-1.29,646,15.24,-9.98,1.68,45.97
10384,frosa9397,15.61,32246,16.18,2.42,2.1,32.79
10394,fruitgrape88,4.63,507,19.05,45.66,3.43,48.0
10427,Fuicax,-1.14,1451,14.88,-3.93,2.37,53.01
10430,fujiyoto,2.34,1370,14.69,8.54,1.79,38.78
10439,fulli1983,0.88,551,11.7,7.99,0.39,14.29
10449,funkyfr3sh24,37.24,6521,15.2,28.55,4.33,55.72
10463,FuriousAngel,-0.46,1059,17.46,-2.17,2.52,36.96
10490,G The Jester,0.0,5201,13.01,0.0,1.46,26.97
10659,Gandhi100,5.22,987,17.57,26.44,1.21,35.68
10692,Garkonline,29.49,9982,12.97,14.77,2.82,42.3
10733,Gatzin,-9.16,13615,16.45,-3.36,1.68,41.56
10739,Gauwth,20.29,9109,13.3,11.14,2.42,43.45
10746,GavPosad37ru,-0.48,668,7.24,-3.59,1.82,27.03
10751,Gaxes GK,3.89,1855,16.8,10.49,1.04,35.29
10785,GE_Saniok_MD,3.89,636,11.95,30.58,2.44,37.86
10800,gegewolf,23.71,7466,14.37,15.88,1.25,28.99
10805,gekrumpt,-5.93,671,19.82,-44.19,1.41,32.3
10809,GeLeZiaK@,-0.48,4329,12.35,-0.55,2.52,42.59
10826,GeneralVrungel,5.23,1038,15.12,25.19,1.52,45.12
10837,genmag123,0.31,891,19.86,1.74,2.79,47.98
10908,gerreg,-1.05,1782,16.16,-2.95,1.33,30.47
10936,GFlinn21,-2.23,4440,15.21,-2.51,2.3,49.39
10988,GianniML,60.61,15766,16.72,19.22,2.19,39.21
