,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
334,1Taipan1,-8.42,80,37.5,-526.25,2.36,49.06
335,1Tatarin11,0.11,7,42.86,78.57,,80.0
336,1tillit1,34.7,14678,14.32,11.82,1.96,36.37
337,1uc42n42c1,-0.37,8,75.0,-231.25,,16.67
338,1v.“_John_”.v11,-0.03,1,100.0,-150.0,0.0,0.0
339,1VilliP1,-0.12,2,0.0,-300.0,0.0,0.0
340,1vodovoz1,-1.19,10,100.0,-595.0,0.5,23.53
341,1walker1,0.08,6,33.33,66.67,,75.0
342,1xWeisswurst,-14.66,1751,45.35,-41.86,2.05,55.85
343,2/7=aIlin,1.72,56,49.09,153.57,3.14,55.0
344,200dollars,-2.52,31,41.94,-406.45,1.6,44.44
345,2010dodge,-0.03,1,0.0,-150.0,0.0,0.0
346,2020Mission,1.19,12,83.33,495.83,0.57,33.33
347,2040800,-6.64,4530,40.96,-7.33,2.55,49.29
348,204carnage204,-2.34,40,42.5,-292.5,0.14,6.67
349,20cando,0.14,75,29.73,9.33,4.2,60.0
350,20comer20x,-2.75,219,34.7,-62.79,1.14,35.0
351,20fuderagora,-1.71,9,33.33,-950.0,0.33,20.0
352,20pra,-2.09,566,72.42,-18.46,0.91,31.31
353,21-=MIKE=-16,3.8,50,38.0,380.0,9.33,75.68
354,2102Oslo,0.02,3,66.67,33.33,0.0,0.0
355,2106heiko,-1.0,27,37.04,-185.19,2.0,42.11
356,2109filipe2811,-0.53,66,45.45,-40.15,2.75,46.81
357,210TKO,0.04,20,57.89,10.0,3.0,60.0
358,2178chingon,-4.51,130,41.86,-173.46,2.55,48.28
359,21Roma_Stars .,-1.37,19,63.16,-360.53,0.67,15.38
360,21stepa,-4.93,190,56.68,-129.74,1.79,46.58
361,22-FUBU-22,-2.81,10,80.0,-1405.0,1.33,33.33
362,2209480,1.95,97,34.02,100.52,2.08,48.08
363,2226543,-0.72,627,32.59,-5.74,1.61,50.14
364,2226586,-0.55,108,60.19,-25.46,2.0,48.89
365,222arsen222,-1.19,1,100.0,-5950.0,5.0,83.33
366,222ewgeniy222,-3.33,95,30.53,-175.26,0.2,14.0
367,22Va$h22,-0.4,583,26.6,-3.43,3.21,44.12
368,23---418,-4.09,1224,28.64,-16.71,2.73,50.21
369,2306Christian,-2.84,66,43.94,-215.15,1.2,40.91
370,2310casa,-0.76,7,42.86,-542.86,1.0,50.0
371,23111980 /31,-0.55,35,80.0,-78.57,2.89,60.47
372,2334760,1.03,188,27.81,27.39,3.25,53.42
373,23_KUBAN_71,1.14,149,18.24,38.26,1.0,33.33
374,23Markito23,-1.06,20,60.0,-265.0,3.0,30.0
375,23volk9,5.46,1752,24.53,15.58,1.93,43.16
376,24481409,-2.71,58,54.39,-233.62,0.3,15.52
377,24suited33,-0.1,10,40.0,-50.0,,66.67
378,25000052,-11.08,675,33.08,-82.07,1.07,30.1
379,2500MH-4,-0.81,68,26.47,-59.56,1.8,34.62
380,25167511,-0.04,3,33.33,-66.67,0.0,0.0
381,25rodos,-1.05,12,83.33,-437.5,1.8,56.25
382,261119834527,0.64,85,42.35,37.65,4.71,58.93
383,2630953,-0.98,11,63.64,-445.45,1.0,25.0
384,26er,-0.33,21,38.1,-78.57,,72.73
385,27 BELLA 45,-0.3,34,38.24,-44.12,0.71,27.78
386,2700172,4.9,3333,12.43,7.35,1.15,32.28
387,2701peps,-0.41,76,47.3,-26.97,0.0,0.0
388,27051971,-4.37,181,61.88,-120.72,1.31,30.09
389,270726,1.13,11,18.18,513.64,0.33,25.0
390,27chesh,-4.29,159,24.05,-134.91,1.43,42.86
391,27tony1990,-1.6,94,27.66,-85.11,6.0,27.27
392,28Evgenia,-0.5,2,50.0,-1250.0,,100.0
393,29jucator2726,-0.82,23,56.52,-178.26,4.0,60.0
394,29martins,-1.2,10,30.0,-600.0,0.83,45.45
395,29Octobre,-1.73,4,50.0,-2162.5,0.5,33.33
396,2after909,23.1,2624,14.01,44.02,3.7,56.08
397,2bad4uAA,-0.8,78,19.23,-51.28,0.89,28.57
398,2barnes,-1.95,89,44.94,-109.55,2.0,44.07
399,2cpan,-3.56,178,35.8,-100.0,0.82,30.43
400,2dejws,-6.97,299,39.06,-116.56,1.06,35.63
401,2dors,1.92,62,41.94,154.84,4.0,63.16
402,2ES5K_15,-12.87,142,46.76,-453.17,0.8,28.24
403,2FatKats,1.39,324,16.72,21.45,1.53,34.67
404,2GLAROI,-1.08,111,58.56,-48.65,0.93,38.46
405,2GR8HAND,-1.86,128,51.56,-72.66,1.9,43.18
406,2hardtimes,-1.05,74,64.38,-70.95,1.46,46.67
407,2Japes2,-2.91,88,34.09,-165.34,0.81,29.55
408,2johnt2,-1.07,459,26.54,-11.66,1.3,39.33
409,2kija,-2.84,52,76.92,-273.08,2.2,46.81
410,2kings178,-0.31,160,37.74,-9.69,2.07,39.74
411,2manyMILFS,0.38,161,31.68,11.8,0.63,25.76
412,2maxsoccer,-13.47,3227,21.66,-20.87,2.53,46.24
413,2mkassessoria,0.25,94,36.17,13.3,9.0,57.45
